U_star	 LCO_Heave	 LCO_Pitch_deg	 LCO_Flap_deg	 Freq_Ratio	 X0_1	 X0_2	 X0_3	 X0_4	 X0_5	 X0_6	 X0_7	 X0_8	 X0_9	 X0_10	 X0_11	 X0_12
2.470802726907347147e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	1.114766075449889621e-01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.471802726907347036e+00	4.926194036132349775e-04	1.604307872971181548e-01	6.675562644277694968e-01	1.114549275774074089e-01	4.901541618814210657e-05	-1.521732720036205226e-04	-2.003114466259960070e-04	4.876275230071139884e-04	-2.791625291346481064e-03	1.164754394159252249e-02	-5.447754662908923601e-05	1.675908275510771032e-04	5.109892928671619958e-05	-1.180701569169003524e-03	1.482673129170428367e-03	6.365171023542872709e-03
2.471810006027483464e+00	4.944061924148578872e-04	1.610128313150568091e-01	6.699802419670973785e-01	1.114547697547893512e-01	4.919332924770013660e-05	-1.527260405454448509e-04	-2.010390727892442475e-04	4.893961664485946142e-04	-2.801753242697639472e-03	1.168983756978707669e-02	-5.467557177540589928e-05	1.681988396790030232e-04	5.128601617630139056e-05	-1.184986467311144711e-03	1.488060318536513606e-03	6.388297299102026379e-03
2.471824643120635656e+00	4.979795940975976793e-04	1.621768666950560989e-01	6.748280456602575583e-01	1.114544523994012576e-01	4.954914204232584119e-05	-1.538315499285108760e-04	-2.024942885085211943e-04	4.929332779157960401e-04	-2.822008226383784096e-03	1.177442218438420722e-02	-5.507161658357726084e-05	1.694148086709549889e-04	5.166022858446436209e-05	-1.193555918649269292e-03	1.498834472776047365e-03	6.434548849600691019e-03
2.471854232675817276e+00	5.051256884531544426e-04	1.645047252480523747e-01	6.845230431530646698e-01	1.114538108488929147e-01	5.026071394130858196e-05	-1.560424571254427043e-04	-2.054045725018079646e-04	5.000067938709737295e-04	-2.862514490045890182e-03	1.194358077047127931e-02	-5.586368413558426033e-05	1.718465239401429203e-04	5.240880924863926092e-05	-1.210693431307482667e-03	1.520381877346399209e-03	6.527047921395381230e-03
2.471914672909280686e+00	5.194149985453390232e-04	1.691595808707549720e-01	7.039105637873896981e-01	1.114525003962023031e-01	5.168363984294120991e-05	-1.604638191137834321e-04	-2.112245425838258327e-04	5.141509553787619981e-04	-2.943511981586069588e-03	1.228185476331303781e-02	-5.744772997191913421e-05	1.767090503610694728e-04	5.390660461480282616e-05	-1.244962814770543416e-03	1.563473023406110503e-03	6.712029734641295278e-03
2.472040594968257121e+00	5.479817641739603406e-04	1.784657450956436131e-01	7.426754298175366475e-01	1.114497701439492172e-01	5.452859501647389431e-05	-1.693046845006845988e-04	-2.228620262135055366e-04	5.424274574516105025e-04	-3.105445056688392342e-03	1.295822518314923046e-02	-6.061545650445773818e-05	1.864303808450875515e-04	5.690481653537570036e-05	-1.313478361077632505e-03	1.649640284232013971e-03	7.081926334144087072e-03
2.472312580975011276e+00	6.050651657441987559e-04	1.970630793298303873e-01	8.201622446136417333e-01	1.114438727585985861e-01	6.021471911267050996e-05	-1.869785901979111845e-04	-2.461266491899545550e-04	5.989304723270641928e-04	-3.429049501040562758e-03	1.431021708222402627e-02	-6.694938467114652455e-05	2.058573082693642906e-04	6.291240319004947268e-05	-1.450411362856500247e-03	1.821911658831742260e-03	7.821437823920888641e-03
2.472936904831160909e+00	7.190099152300799285e-04	2.341913656809278543e-01	9.749465828529737532e-01	1.114303349522098169e-01	7.157023507533126516e-05	-2.222919929093607183e-04	-2.926103929105927388e-04	7.117150575424888116e-04	-4.075099739879507049e-03	1.701089758835022669e-02	-7.961063035396133501e-05	2.446415271434690983e-04	7.497761376160188261e-05	-1.723843631160534070e-03	2.166177812074862249e-03	9.299225895843114473e-03
2.474125719755414732e+00	8.963485161656569193e-04	2.919949304464608542e-01	1.216199356896757955e+00	1.114045537478549203e-01	8.926043126315506599e-05	-2.773604304705776279e-04	-3.650973427106292348e-04	8.872428306411721645e-04	-5.080898639998037564e-03	2.122027957036971141e-02	-9.937291421207948951e-05	3.050223669621617288e-04	9.398699669673717843e-05	-2.149713562549536612e-03	2.703219938574946257e-03	1.160436888367714046e-02
2.475572399804459867e+00	1.072644126549057025e-03	3.494858718089936533e-01	1.456550947348512759e+00	1.113731743838778515e-01	1.068714600202878812e-04	-3.322636468314779331e-04	-4.373655096010600784e-04	1.061730629174135847e-03	-6.081241293509545912e-03	2.541393522957657511e-02	-1.191025358180751296e-04	3.650758373519214406e-04	1.132249511337950275e-04	-2.573536773985187973e-03	3.238927080992464857e-03	1.390356044184428222e-02
2.477273769856396690e+00	1.247706218583447902e-03	4.066067942515379507e-01	1.695834605195996936e+00	1.113362632030507615e-01	1.243887614280893240e-04	-3.869708999821793198e-04	-5.093738778324382807e-04	1.234988486095706453e-03	-7.075125988460634341e-03	2.958895467955555830e-02	-1.387935004973943809e-04	4.247423562724752058e-04	1.327332237182084055e-04	-2.994938632292821340e-03	3.773054167272837153e-03	1.619570677833216676e-02
2.479226227887045830e+00	1.421352954045880567e-03	4.633027571390367916e-01	1.933889939523364410e+00	1.112938953019829980e-01	1.417983819793795775e-04	-4.414525188042250589e-04	-5.810826913221965552e-04	1.406835104847492393e-03	-8.061593869466953874e-03	3.374253899186889505e-02	-1.584400601852647928e-04	4.839651754286791708e-04	1.525516112995260103e-04	-3.413561097074271217e-03	4.305366387065859973e-03	1.847975927320722953e-02
2.481425792346787951e+00	1.593412071657577655e-03	5.195215205976259076e-01	2.170563499610315361e+00	1.112461535684817343e-01	1.590870333296631159e-04	-4.956799929742892281e-04	-6.524535521958961005e-04	1.577098745641718376e-03	-9.039733232086245504e-03	3.787201035508301616e-02	-1.780367299649146192e-04	5.426906669063589908e-04	1.727177307217166353e-04	-3.829064349691763906e-03	4.835640043673565189e-03	2.075471825294695344e-02
2.483867811460108488e+00	1.763723129632087643e-03	5.752142547889366186e-01	2.405711296928871867e+00	1.111931369483564885e-01	1.762422900126301329e-04	-5.496265008914657819e-04	-7.234501469960724802e-04	1.745619453883527671e-03	-1.000869188414207044e-02	4.197485608106731741e-02	-1.975784407610795012e-04	6.008690436422601307e-04	1.932668652077498622e-04	-4.241131645302284245e-03	5.363667250143206409e-03	2.301965343368124126e-02
2.486547493961370314e+00	1.932136262118308492e-03	6.303350930591284929e-01	2.639196735250250114e+00	1.111349463900652146e-01	1.932524482280210368e-04	-6.032664234450370441e-04	-7.940375426322373621e-04	1.912247832110983582e-03	-1.096766937366904296e-02	4.604869249079000110e-02	-2.170603788937723263e-04	6.584539549995958212e-04	2.142317595922346273e-04	-4.649466113358178415e-03	5.889251599274840550e-03	2.527368520297235133e-02
2.489459620628632130e+00	2.098514095257358533e-03	6.848417514121473149e-01	2.870892922679393777e+00	1.110716930775392380e-01	2.101067021393690233e-04	-6.565758402554956697e-04	-8.641828774359074745e-04	2.076846942348964734e-03	-1.191592778178231053e-02	5.009130525630249575e-02	-2.364781324733392998e-04	7.154030997619353471e-04	2.356425534521526424e-04	-5.053794997711281989e-03	6.412212540659117770e-03	2.751600364507135119e-02
2.492598669036509396e+00	2.262731819859564383e-03	7.386955418631404591e-01	3.100682608067274248e+00	1.110034954208696106e-01	2.267951433701960722e-04	-7.095325040728350362e-04	-9.338553214450539880e-04	2.239292380291761121e-03	-1.285279195948501284e-02	5.410064829205161324e-02	-2.558276762250227842e-04	7.716782424077109088e-04	2.575267021781159999e-04	-5.453869669210601075e-03	6.932385081690924968e-03	2.974586728293469179e-02
2.495958856533606607e+00	2.424677430671950441e-03	7.918614506984790191e-01	3.328458451268047735e+00	1.109304782619292412e-01	2.433087820594808639e-04	-7.621158964557733870e-04	-1.003026156683408179e-03	2.399472513441217210e-03	-1.377765089242373973e-02	5.807484847076364864e-02	-2.751053831577743780e-04	8.272452821680557379e-04	2.799089472420204349e-04	-5.849466098463007059e-03	7.449620192130891605e-03	3.196260485700018472e-02
2.499534183308746993e+00	2.584251804439851620e-03	8.443081715141488308e-01	3.554123177246005572e+00	1.108527720608786377e-01	2.596395567457063800e-04	-8.143072640237791933e-04	-1.071668835095668628e-03	2.557288558397151877e-03	-1.468995827618919947e-02	6.201220831233666270e-02	-2.943080315261250419e-04	8.820742691589541834e-04	3.028113222010428082e-04	-6.240385020002354143e-03	7.963785016184138366e-03	3.416561625798278379e-02
2.503318474924318249e+00	2.741368627250823000e-03	8.960080956920989381e-01	3.777589618925787818e+00	1.107705120744912619e-01	2.757803336839300345e-04	-8.660896358045747957e-04	-1.139759014342910061e-03	2.712654507783519332e-03	-1.558923234863858996e-02	6.591120673115374862e-02	-3.134328072249338592e-04	9.361393712820559928e-04	3.262531912939416602e-04	-6.626451807502723758e-03	8.474762900654865191e-03	3.635437265156054448e-02
